x1_lingkungan_kerja,x2_kompensasi,y_kepuasan
4.00,3.80,4.40
3.20,3.20,4.00
3.80,3.60,4.40
4.00,2.00,3.40
1.80,0.80,1.00
3.20,3.20,4.00
2.00,0.80,2.40
3.20,3.20,4.20
3.00,2.80,4.00
3.20,3.20,4.00
3.20,3.20,4.00
2.40,2.40,3.00
2.40,2.40,3.00
3.40,2.40,4.00
3.60,3.80,3.80
3.60,2.40,3.40
3.20,3.20,4.00
4.00,4.00,5.00
2.40,2.40,3.00
3.00,2.60,3.60
2.40,2.40,3.00
4.00,3.80,5.00
3.40,3.40,3.60
3.60,3.20,4.80
2.80,3.00,4.00
3.00,3.20,4.00
3.40,2.80,4.00
3.00,3.00,4.00
3.80,3.60,4.00
3.00,3.20,4.20
4.00,4.00,5.00
4.00,4.00,5.00
